Name,Input Length (Bytes),Compress Time (MS),Decompress Time (MS),Compression Ratio (%)
BZip2 - Repeating str large (10000 chars),10000,5.74,0.36,1.58
BZip2 - Random str (50000 chars),50000,6.92,2.21,75.25
BZip2 - Repeating str small (50000 chars),50000,110.63,0.78,0.51
BZip2 - Repeating str large (50000 chars),50000,26.53,0.79,0.72
BZip2 - Random str (100000 chars),100000,10.61,4.39,75.14
BZip2 - Repeating str small (100000 chars),100000,283.42,1.37,0.45
BZip2 - Repeating str large (100000 chars),100000,61.74,1.50,0.56
BZip2 - YGO binder url eg1,154,0.95,0.27,111.04
BZip2 - YGO binder url eg2,159,0.85,0.24,108.18
BZip2 - YGO binder data raw eg1,341,0.90,0.25,114.66
BZip2 - YGO binder data raw eg2,66,0.76,0.23,187.88
Snappy - Large JSON,15580785,36.12,20.10,25.40
Snappy - Random str (8 chars),8,0.01,0.00,125.00
Snappy - Repeating str small (8 chars),8,0.00,0.00,125.00
Snappy - Repeating str large (8 chars),8,0.00,0.00,125.00
Snappy - Random str (20 chars),20,0.00,0.00,110.00
Snappy - Repeating str small (20 chars),20,0.00,0.00,45.00
Snappy - Repeating str large (20 chars),20,0.00,0.00,110.00
Snappy - Random str (100 chars),100,0.00,0.00,103.00
Snappy - Repeating str small (100 chars),100,0.00,0.00,12.00
Snappy - Repeating str large (100 chars),100,0.00,0.00,35.00
Snappy - Random str (256 chars),256,0.00,0.00,101.56
Snappy - Repeating str small (256 chars),256,0.00,0.00,7.42
Snappy - Repeating str large (256 chars),256,0.00,0.00,16.80
Snappy - Random str (512 chars),512,0.00,0.00,100.98
Snappy - Repeating str small (512 chars),512,0.00,0.00,6.05
Snappy - Repeating str large (512 chars),512,0.00,0.00,10.74
Snappy - Random str (1024 chars),1024,0.00,0.00,100.49
Snappy - Repeating str small (1024 chars),1024,0.00,0.00,5.37
Snappy - Repeating str large (1024 chars),1024,0.00,0.00,7.71
Snappy - Random str (2056 chars),2056,0.00,0.00,100.24
Snappy - Repeating str small (2056 chars),2056,0.00,0.00,5.11
Snappy - Repeating str large (2056 chars),2056,0.00,0.00,6.18
Snappy - Random str (4096 chars),4096,0.00,0.00,100.12
Snappy - Repeating str small (4096 chars),4096,0.00,0.00,4.86
Snappy - Repeating str large (4096 chars),4096,0.00,0.00,5.44
Snappy - Random str (10000 chars),10000,0.00,0.00,100.05
Snappy - Repeating str small (10000 chars),10000,0.01,0.01,4.78
Snappy - Repeating str large (10000 chars),10000,0.01,0.01,4.99
Snappy - Random str (50000 chars),50000,0.01,0.01,100.01
Snappy - Repeating str small (50000 chars),50000,0.03,0.04,4.71
Snappy - Repeating str large (50000 chars),50000,0.03,0.03,4.75
Snappy - Random str (100000 chars),100000,0.02,0.01,100.01
Snappy - Repeating str small (100000 chars),100000,0.05,0.07,4.70
Snappy - Repeating str large (100000 chars),100000,0.06,0.07,4.75
Snappy - YGO binder url eg1,154,0.00,0.00,101.30
Snappy - YGO binder url eg2,159,0.00,0.00,98.74
Snappy - YGO binder data raw eg1,341,0.00,0.00,101.47
Snappy - YGO binder data raw eg2,66,0.00,0.00,104.55
